Order_ID,Order_Date,Customer_Name,Category,Product,Region,Quantity,Sales,Discount,Profit,Month
ORD0001,2024-05-22,srujan,Office Supplies,Notebook,North,9,37548,0.3,4174.68,2024-05
ORD0002,2024-12-13,manoj,Technology,Printer,West,10,9380,0.06,520.68,2024-12
ORD0003,2024-05-04,shyam,Office Supplies,Pen,North,9,43551,0.01,8770.26,2024-05
ORD0004,2024-06-10,Neha,Office Supplies,File Folder,South,5,6160,0.1,429.62,2024-06
ORD0005,2025-06-10,Ravi,Office Supplies,Pen,South,6,20874,0.3,1606.18,2025-06
ORD0006,2024-04-07,Gnaneswara,Office Supplies,Pen,West,6,1320,0.25,210.34,2024-04
ORD0007,2025-06-13,srujan,Furniture,Sofa,West,8,17304,0.19,1276.32,2025-06
ORD0008,2024-05-11,sravan,Office Supplies,Notebook,South,4,3440,0.17,199.38,2024-05
ORD0009,2024-07-09,srujan,Office Supplies,Notebook,East,2,5784,0.08,287.62,2024-07
ORD0010,2024-06-18,Ananya,Furniture,Chair,West,5,13680,0.02,2079.44,2024-06
ORD0011,2024-07-03,Ananya,Office Supplies,Pen,East,2,5870,0.17,924.07,2024-07
ORD0012,2025-01-12,Neha,Office Supplies,Paper,West,5,6910,0.06,884.82,2025-01
ORD0013,2025-09-29,srujan,Furniture,Desk,West,4,11084,0.21,546.73,2025-09
ORD0014,2024-11-27,Gnaneswara,Furniture,Sofa,North,8,13768,0.11,786.99,2024-11
ORD0015,2025-01-03,Gnaneswara,Furniture,Bookcase,South,3,2136,0.07,443.18,2025-01
ORD0016,2025-01-12,manoj,Furniture,Chair,North,10,17440,0.19,1963.05,2025-01
ORD0017,2025-11-11,sravan,Furniture,Desk,East,8,39432,0.2,5313.83,2025-11
ORD0018,2024-11-25,Pooja,Technology,Laptop,East,9,12690,0.21,652.91,2024-11
ORD0019,2024-03-31,koushik,Furniture,Desk,North,7,5880,0.28,830.29,2024-03
ORD0020,2025-08-25,Pooja,Furniture,Chair,South,4,5472,0.13,1003.06,2025-08
ORD0021,2024-09-04,Neha,Technology,Laptop,East,1,1214,0.12,256.63,2024-09
ORD0022,2024-12-02,Ravi,Technology,Printer,South,6,26988,0.19,3422.07,2024-12
ORD0023,2024-03-14,koushik,Technology,Keyboard,North,6,24678,0.1,2530.16,2024-03
ORD0024,2025-05-09,Gnaneswara,Furniture,Desk,North,1,679,0.05,64.35,2025-05
ORD0025,2025-01-12,srujan,Office Supplies,File Folder,North,4,17016,0.19,2290.02,2025-01
ORD0026,2025-12-16,Ravi,Technology,Laptop,West,7,5887,0.28,626.42,2025-12
ORD0027,2025-03-22,manoj,Furniture,Sofa,East,3,8361,0.13,1276.59,2025-03
ORD0028,2024-03-30,manoj,Office Supplies,File Folder,West,7,25970,0.06,5054.35,2024-03
ORD0029,2025-12-26,srujan,Furniture,Desk,East,5,6920,0.26,714.56,2025-12
ORD0030,2024-08-15,sravan,Office Supplies,Paper,East,4,18384,0.09,3447.09,2024-08
ORD0031,2024-09-15,Pooja,Furniture,Chair,South,6,8604,0.25,1533.33,2024-09
ORD0032,2025-07-21,manoj,Technology,Keyboard,South,3,10044,0.05,2213.38,2025-07
ORD0033,2025-06-06,Neha,Furniture,Chair,South,7,11095,0.1,701.02,2025-06
ORD0034,2025-02-02,Gnaneswara,Furniture,Table,West,6,22086,0.15,3021.45,2025-02
ORD0035,2024-09-14,Ananya,Office Supplies,File Folder,South,5,6805,0.03,396.99,2024-09
ORD0036,2025-03-04,Pooja,Office Supplies,File Folder,East,4,3196,0.06,335.22,2025-03
ORD0037,2024-04-24,Neha,Furniture,Sofa,South,10,13620,0.22,984.23,2024-04
ORD0038,2025-01-06,Ravi,Furniture,Chair,West,3,3336,0.09,465.71,2025-01
ORD0039,2024-10-11,Ravi,Office Supplies,Paper,East,9,1035,0.19,94.49,2024-10
ORD0040,2024-09-19,Ravi,Technology,Printer,West,6,4614,0.0,900.38,2024-09
ORD0041,2024-07-08,koushik,Technology,Monitor,East,1,2482,0.25,444.14,2024-07
ORD0042,2024-06-22,Neha,Technology,Keyboard,South,5,19790,0.23,1502.5,2024-06
ORD0043,2025-06-16,shyam,Technology,Printer,North,8,18704,0.24,1537.53,2025-06
ORD0044,2024-08-08,manoj,Office Supplies,Notebook,East,1,4679,0.0,241.15,2024-08
ORD0045,2024-12-27,koushik,Office Supplies,Pen,South,10,41020,0.05,1957.88,2024-12
ORD0046,2025-06-15,shyam,Office Supplies,File Folder,North,8,13936,0.03,1289.9,2025-06
ORD0047,2024-09-21,Ravi,Office Supplies,Notebook,South,3,846,0.0,193.42,2024-09
ORD0048,2024-05-22,sravan,Furniture,Chair,North,2,2466,0.22,192.73,2024-05
ORD0049,2025-05-26,manoj,Furniture,Desk,South,4,14804,0.19,1636.04,2025-05
ORD0050,2024-01-17,srujan,Furniture,Desk,East,7,18235,0.14,3446.32,2024-01
ORD0051,2024-03-08,Neha,Office Supplies,File Folder,West,7,26145,0.14,2448.14,2024-03
ORD0052,2024-02-11,Ananya,Office Supplies,File Folder,East,8,10512,0.22,1498.46,2024-02
ORD0053,2025-10-21,manoj,Technology,Laptop,East,5,17230,0.25,1508.31,2025-10
ORD0054,2024-04-03,Pooja,Technology,Printer,North,3,2208,0.27,172.41,2024-04
ORD0055,2024-05-10,sravan,Technology,Printer,West,1,4062,0.01,365.91,2024-05
ORD0056,2025-01-13,Neha,Office Supplies,Stapler,East,4,15112,0.21,2458.26,2025-01
ORD0057,2025-12-13,Ravi,Office Supplies,Pen,East,5,7030,0.26,272.21,2025-12
ORD0058,2025-06-29,Ravi,Technology,Monitor,South,5,2580,0.11,565.43,2025-06
ORD0059,2024-01-21,Gnaneswara,Furniture,Table,North,8,39552,0.26,5142.54,2024-01
ORD0060,2025-04-25,koushik,Furniture,Bookcase,West,6,14598,0.16,830.83,2025-04
ORD0061,2024-04-23,shyam,Office Supplies,Paper,East,9,34641,0.24,3728.24,2024-04
ORD0062,2024-12-15,Pooja,Technology,Mobile Phone,North,1,1594,0.28,150.52,2024-12
ORD0063,2025-01-19,Ravi,Furniture,Bookcase,North,2,3582,0.07,381.59,2025-01
ORD0064,2025-10-25,manoj,Technology,Mobile Phone,South,8,22728,0.27,1958.63,2025-10
ORD0065,2024-11-15,shyam,Technology,Keyboard,South,10,45580,0.24,8492.04,2024-11
ORD0066,2024-06-04,Neha,Office Supplies,Paper,South,1,4808,0.03,297.79,2024-06
ORD0067,2025-10-14,Ravi,Furniture,Sofa,North,4,5428,0.29,823.54,2025-10
ORD0068,2025-02-12,srujan,Furniture,Bookcase,North,5,5500,0.14,245.23,2025-02
ORD0069,2025-11-15,Gnaneswara,Technology,Keyboard,West,4,7348,0.0,578.21,2025-11
ORD0070,2024-10-24,srujan,Office Supplies,Stapler,East,2,9192,0.07,1409.99,2024-10
ORD0071,2024-04-14,srujan,Furniture,Table,North,1,3990,0.06,332.85,2024-04
ORD0072,2024-07-15,Gnaneswara,Office Supplies,Paper,East,8,3040,0.25,170.1,2024-07
ORD0073,2024-05-26,koushik,Furniture,Table,North,7,25774,0.11,1848.13,2024-05
ORD0074,2025-12-16,Ananya,Office Supplies,Paper,North,8,2168,0.24,199.13,2025-12
ORD0075,2024-08-18,Ravi,Technology,Monitor,East,10,14450,0.26,1697.97,2024-08
ORD0076,2024-11-15,manoj,Furniture,Desk,North,8,32248,0.17,4456.44,2024-11
ORD0077,2024-11-01,Pooja,Furniture,Table,East,6,24960,0.17,2022.45,2024-11
ORD0078,2024-09-15,koushik,Office Supplies,Stapler,East,8,18344,0.01,3582.58,2024-09
ORD0079,2024-01-26,Neha,Furniture,Desk,North,7,21952,0.1,1697.72,2024-01
ORD0080,2025-04-04,Ravi,Furniture,Bookcase,East,1,906,0.1,201.34,2025-04
ORD0081,2024-06-19,manoj,Furniture,Sofa,East,3,13023,0.26,1853.46,2024-06
ORD0082,2025-10-24,koushik,Furniture,Table,South,9,17919,0.12,1530.22,2025-10
ORD0083,2024-01-03,koushik,Furniture,Bookcase,West,4,15320,0.09,857.62,2024-01
ORD0084,2025-06-20,Pooja,Technology,Printer,East,9,19863,0.13,1843.1,2025-06
ORD0085,2025-01-30,Neha,Technology,Laptop,North,2,7688,0.22,1492.29,2025-01
ORD0086,2024-06-05,Gnaneswara,Furniture,Sofa,North,6,7410,0.19,930.56,2024-06
ORD0087,2025-10-03,Ravi,Technology,Mobile Phone,East,10,37680,0.24,3670.11,2025-10
ORD0088,2025-09-29,srujan,Technology,Monitor,West,7,26810,0.09,1900.43,2025-09
ORD0089,2024-09-12,Pooja,Technology,Monitor,South,7,16947,0.3,2502.18,2024-09
ORD0090,2025-12-21,srujan,Furniture,Sofa,North,5,14155,0.28,1113.83,2025-12
ORD0091,2024-02-26,koushik,Furniture,Sofa,East,6,24792,0.16,3224.35,2024-02
ORD0092,2025-10-23,shyam,Office Supplies,Pen,West,1,3308,0.08,754.12,2025-10
ORD0093,2025-07-25,srujan,Office Supplies,Pen,South,6,12528,0.13,1022.04,2025-07
ORD0094,2024-10-12,manoj,Technology,Monitor,South,6,1380,0.0,210.63,2024-10
ORD0095,2025-08-29,Ananya,Furniture,Desk,South,8,34296,0.03,4202.88,2025-08
ORD0096,2024-05-22,Ananya,Office Supplies,Stapler,South,9,2160,0.26,250.0,2024-05
ORD0097,2025-04-20,Ananya,Technology,Mobile Phone,North,2,8626,0.12,702.67,2025-04
ORD0098,2024-02-28,Gnaneswara,Furniture,Table,South,2,6054,0.19,638.19,2024-02
ORD0099,2025-01-24,koushik,Office Supplies,File Folder,West,7,29540,0.28,5185.06,2025-01
ORD0100,2024-08-11,shyam,Furniture,Sofa,East,4,520,0.17,43.49,2024-08
ORD0101,2025-09-26,Pooja,Office Supplies,Notebook,East,3,1608,0.23,204.26,2025-09
ORD0102,2025-12-21,Ananya,Office Supplies,File Folder,West,2,1874,0.05,187.15,2025-12
ORD0103,2025-09-06,Pooja,Office Supplies,Pen,South,10,14880,0.22,711.04,2025-09
ORD0104,2025-12-22,Pooja,Technology,Mobile Phone,East,6,25260,0.26,3724.1,2025-12
ORD0105,2025-03-26,srujan,Office Supplies,Notebook,North,5,6285,0.04,1429.4,2025-03
ORD0106,2025-08-03,koushik,Office Supplies,Notebook,West,9,41427,0.24,3095.46,2025-08
ORD0107,2024-12-19,sravan,Furniture,Table,North,8,16912,0.07,2395.5,2024-12
ORD0108,2024-02-05,Ravi,Technology,Mobile Phone,West,6,2826,0.02,240.52,2024-02
ORD0109,2025-06-28,Ravi,Technology,Printer,North,3,8520,0.17,643.43,2025-06
ORD0110,2024-04-19,Pooja,Office Supplies,Paper,North,8,38712,0.05,4299.33,2024-04
ORD0111,2025-06-23,shyam,Technology,Mobile Phone,East,8,21432,0.24,1804.4,2025-06
ORD0112,2024-02-27,Ravi,Office Supplies,Paper,North,6,3732,0.19,563.74,2024-02
ORD0113,2024-05-09,Pooja,Furniture,Desk,West,9,2925,0.06,363.53,2024-05
ORD0114,2024-06-02,Gnaneswara,Furniture,Bookcase,East,10,47960,0.1,4154.6,2024-06
ORD0115,2025-07-01,srujan,Furniture,Chair,South,1,4742,0.04,375.49,2025-07
ORD0116,2025-11-19,Ravi,Furniture,Desk,West,5,9350,0.15,1712.97,2025-11
ORD0117,2025-02-15,Pooja,Furniture,Chair,West,7,22526,0.28,2392.15,2025-02
ORD0118,2024-04-03,srujan,Furniture,Chair,South,1,2655,0.26,294.78,2024-04
ORD0119,2025-10-22,manoj,Technology,Keyboard,North,9,15102,0.04,2044.38,2025-10
ORD0120,2025-04-23,Neha,Furniture,Bookcase,West,6,7374,0.12,503.86,2025-04
ORD0121,2024-12-14,srujan,Office Supplies,Paper,East,2,3768,0.07,486.61,2024-12
ORD0122,2024-06-15,Neha,Office Supplies,Notebook,West,1,1898,0.13,327.22,2024-06
ORD0123,2024-09-08,koushik,Technology,Mobile Phone,North,7,30044,0.04,6205.94,2024-09
ORD0124,2024-05-11,manoj,Furniture,Bookcase,North,1,1442,0.23,180.18,2024-05
ORD0125,2024-07-08,Ananya,Office Supplies,Notebook,West,8,18592,0.07,3420.2,2024-07
ORD0126,2024-09-16,shyam,Office Supplies,Paper,North,3,8430,0.08,1557.82,2024-09
ORD0127,2024-04-12,Gnaneswara,Furniture,Desk,North,7,31906,0.1,4609.37,2024-04
ORD0128,2025-06-13,Gnaneswara,Furniture,Chair,West,1,1068,0.16,166.69,2025-06
